GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gestor,gestorcito.objetos,Contacto,0,14,0,0,0,5,0,2,0,2
Gestor,gestorcito.objetos,BandejaSalida,0,17,0,0,0,6,0,3,0,3
Gestor,gestorcito.objetos,Buzon,0,32,1,3,0,9,1,4,0,3
Gestor,gestorcito.objetos,BandejaEntrada,0,17,0,0,0,6,0,3,0,3
Gestor,gestorcito.objetos,Mensaje,0,36,1,3,0,12,1,6,0,5
Gestor,gestorcito.objetos,Usuario,96,74,4,4,34,20,11,7,8,6
Gestor,gestorcito,Main,7,0,0,0,3,0,2,0,2,0
Gestor,gestorcito.filtros,Filtro_Asunto,0,21,0,0,0,6,0,3,0,3
Gestor,gestorcito.filtros,Filtro_Destinatario_Asunto_Contenido,0,19,0,0,0,6,0,2,0,2
Gestor,gestorcito.filtros,Filtro_Destinatario,0,22,0,0,0,6,0,3,0,3
Gestor,gestorcito.filtros,Filtro_Combinado,0,60,5,7,0,14,5,5,0,4
Gestor,gestorcito.filtros,Filtro_Combinado_Destinatario_Asunto,0,19,0,0,0,6,0,2,0,2
Gestor,gestorcito.filtros,Filtro_Contenido,0,21,0,0,0,6,0,3,0,3
